Isolates,Level 1,Level 2
11657_6#31,22,82
11657_6#32,16,48
11657_6#33,8,22
11657_6#34,5,16
11657_6#35,19,63
11657_6#36,19,60
11657_6#37,24,86
11657_6#38,20,70
11657_6#39,2,6
11657_6#4,2,6
11657_6#40,9,25
11657_6#41,17,52
11657_6#42,23,85
11657_6#43,3,10
11657_6#44,3,7
11657_6#45,19,60
11657_6#46,20,70
11657_6#47,24,88
11657_6#48,20,70
11657_6#49,19,64
11657_6#5,10,27
11657_6#50,19,63
11657_6#51,24,86
11657_6#52,20,69
11657_6#53,19,61
11657_6#54,18,57
11657_6#55,11,32
11657_6#56,20,70
11657_6#57,1,2
11657_6#58,19,64
11657_6#59,15,46
11657_6#6,19,62
11657_6#60,1,2
11657_6#61,22,81
11657_6#62,9,24
11657_6#63,24,86
11657_6#64,24,86
11657_6#65,24,86
11657_6#66,16,50
11657_6#67,24,86
11657_6#68,1,2
11657_6#69,5,16
11657_6#7,24,87
11657_6#70,4,13
11657_6#71,19,58
11657_6#72,24,86
11657_6#73,20,68
11657_6#74,18,57
11657_6#75,8,22
11657_6#76,16,50
11657_6#77,18,53
11657_6#78,20,70
11657_6#79,20,69
11657_6#8,20,70
11657_6#80,20,70
11657_6#81,20,70
11657_6#82,19,64
11657_6#83,4,13
11657_6#84,3,10
11657_6#85,19,61
11657_6#86,19,60
11657_6#87,20,67
11657_6#88,3,10
11657_6#89,7,20
11657_6#9,21,73
11657_6#90,1,2
11657_6#91,24,86
11657_6#92,15,46
11657_6#93,8,22
11657_6#94,24,86
11657_6#95,19,62
11657_6#96,24,87
11657_7#1,20,70
11657_7#10,4,13
11657_7#11,20,70
11657_7#12,24,86
11657_7#13,8,22
11657_7#14,23,85
11657_7#15,16,48
11657_7#16,19,64
11657_7#17,20,69
11657_7#18,23,85
11657_7#19,4,11
11657_7#2,19,62
11657_7#20,20,70
11657_7#21,24,86
11657_7#22,24,86
11657_7#23,24,86
11657_7#24,21,73
11657_7#25,20,68
11657_7#26,20,68
11657_7#27,9,25
11657_7#28,19,59
11657_7#29,23,83
11657_7#3,2,6
11657_7#30,15,46
11657_7#31,10,30
11657_7#32,6,18
11657_7#33,20,68
11657_7#34,1,2
11657_7#35,1,2
11657_7#36,12,35
11657_7#37,18,55
11657_7#38,23,85
11657_7#39,3,10
11657_7#4,20,70
11657_7#40,19,62
11657_7#41,2,6
11657_7#42,18,56
11657_7#43,15,46
11657_7#44,20,70
11657_7#45,7,20
11657_7#46,2,4
11657_7#47,24,86
11657_7#48,20,70
11657_7#49,19,60
11657_7#5,5,16
11657_7#50,19,61
11657_7#51,16,50
11657_7#52,24,86
11657_7#53,24,86
11657_7#54,24,86
11657_7#55,24,86
11657_7#56,24,86
11657_7#57,24,86
11657_7#58,24,86
11657_7#59,24,86
11657_7#6,17,52
11657_7#60,20,68
11657_7#61,20,70
11657_7#62,19,62
11657_7#63,13,39
11657_7#64,3,8
11657_7#65,13,39
11657_7#66,24,86
11657_7#67,20,70
11657_7#68,19,60
11657_7#69,20,70
11657_7#7,24,87
11657_7#70,24,86
11657_7#71,20,70
11657_7#72,18,57
11657_7#73,24,86
11657_7#74,20,66
11657_7#75,7,20
11657_7#76,20,68
11657_7#77,24,88
11657_7#78,24,86
11657_7#79,23,85
11657_7#8,19,60
11657_7#80,17,52
11657_7#81,9,24
11657_7#82,6,18
11657_7#83,18,55
11657_7#84,18,56
11657_7#85,2,5
11657_7#86,19,64
11657_7#87,13,39
11657_7#88,19,60
11657_7#89,24,86
11657_7#9,2,5
11657_7#90,19,62
11657_7#91,2,6
11657_7#92,10,28
11657_7#93,18,55
11657_7#94,4,11
11657_7#95,24,86
11657_7#96,20,70
11658_3#1,23,85
11658_3#10,21,73
11658_3#11,1,2
11658_3#12,1,2
11658_3#13,22,81
11658_3#14,1,3
11658_3#19,15,45
11658_3#2,22,80
11658_3#20,19,61
11658_3#21,16,50
11658_3#22,1,2
11658_3#23,21,74
11658_3#24,13,37
11658_3#25,11,32
11658_3#26,20,66
11658_3#27,20,68
11658_3#28,5,16
11658_3#29,20,70
11658_3#3,3,10
11658_3#30,19,60
11658_3#31,24,88
11658_3#32,20,68
11658_3#33,17,51
11658_3#34,19,59
11658_3#35,20,70
11658_3#36,24,86
11658_3#37,18,55
11658_3#38,24,86
11658_3#39,20,70
11658_3#4,24,86
11658_3#40,17,52
11658_3#41,24,86
11658_3#42,24,86
11658_3#43,19,61
11658_3#44,14,41
11658_3#45,4,13
11658_3#46,20,68
11658_3#47,20,68
11658_3#48,23,85
11658_3#49,3,10
11658_3#5,20,70
11658_3#50,2,5
11658_3#51,6,17
11658_3#52,19,64
11658_3#53,18,56
11658_3#54,18,57
11658_3#55,24,86
11658_3#56,24,86
11658_3#57,20,70
11658_3#58,7,20
11658_3#59,4,11
11658_3#6,2,6
11658_3#60,23,84
11658_3#61,14,42
11658_3#62,18,55
11658_3#64,20,68
11658_3#65,7,20
11658_3#66,20,70
11658_3#67,20,67
11658_3#68,3,10
11658_3#69,3,9
11658_3#7,8,21
11658_3#70,24,88
11658_3#71,20,70
11658_3#72,3,10
11658_3#73,16,49
11658_3#74,24,86
11658_3#75,20,70
11658_3#76,16,50
11658_3#77,23,85
11658_3#78,5,16
11658_3#79,20,70
11658_3#8,24,88
11658_3#80,18,57
11658_3#81,20,70
11658_3#82,20,70
11658_3#83,20,67
11658_3#84,1,2
11658_3#85,20,68
11658_3#86,24,86
11658_3#87,3,10
11658_3#88,21,78
11658_3#89,3,9
11658_3#9,3,8
11658_3#90,3,10
11658_3#91,19,63
11658_3#92,15,44
11658_3#93,20,68
11658_3#94,24,86
11658_3#95,20,70
11658_3#96,19,60
11658_4#10,17,52
11658_4#11,3,10
11658_4#12,3,10
