Isolates,Level 1,Level 2
11658_3#12,1,8
11658_3#13,12,55
11658_3#14,1,4
11658_3#19,21,97
11658_3#2,13,59
11658_3#20,27,134
11658_3#21,22,106
11658_3#22,1,7
11658_3#23,26,124
11658_3#24,17,77
11658_3#25,15,72
11658_3#26,28,140
11658_3#27,28,143
11658_3#28,6,38
11658_3#29,28,142
11658_3#3,4,24
11658_3#30,27,133
11658_3#31,18,85
11658_3#32,28,143
11658_3#33,23,107
11658_3#34,27,130
11658_3#35,28,142
11658_3#36,3,19
11658_3#37,25,119
11658_3#38,3,19
11658_3#39,28,142
11658_3#4,3,19
11658_3#40,23,108
11658_3#41,3,19
11658_3#42,3,19
11658_3#43,27,134
11658_3#44,19,89
11658_3#45,5,32
11658_3#46,28,143
11658_3#47,28,143
11658_3#48,29,156
11658_3#49,4,22
11658_3#5,28,142
11658_3#50,2,14
11658_3#51,7,39
11658_3#52,27,132
11658_3#53,25,113
11658_3#54,25,118
11658_3#55,3,19
11658_3#56,3,19
11658_3#57,28,142
11658_3#58,9,46
11658_3#59,5,31
11658_3#6,2,17
11658_3#60,29,152
11658_3#61,19,90
11658_3#62,25,119
11658_3#64,28,143
11658_3#65,9,46
11658_3#66,28,142
11658_3#67,28,141
11658_3#68,4,24
11658_3#69,4,25
11658_3#7,10,47
11658_3#70,18,85
11658_3#71,28,142
11658_3#72,4,22
11658_3#73,22,105
11658_3#74,3,19
11658_3#75,28,145
11658_3#76,22,106
11658_3#77,29,147
11658_3#78,6,36
11658_3#79,28,142
11658_3#8,18,87
11658_3#80,25,118
11658_3#81,28,142
11658_3#82,28,142
11658_3#83,28,141
11658_3#84,1,3
11658_3#85,28,143
11658_3#86,3,19
11658_3#87,4,24
11658_3#88,24,112
11658_3#89,4,25
11658_3#9,4,23
11658_3#90,4,26
11658_3#91,27,126
11658_3#92,21,96
11658_3#93,28,143
11658_3#94,3,20
11658_3#95,28,145
11658_3#96,27,133
11658_4#10,23,108
11658_4#11,4,24
11658_4#12,4,24
11658_4#13,15,72
11658_4#14,10,48
11658_4#15,27,136
11658_4#16,27,135
11658_4#17,16,75
11658_4#18,3,19
11658_4#19,28,142
11658_4#2,23,108
11658_4#20,27,136
11658_4#21,2,13
11658_4#22,8,42
11658_4#23,2,16
11658_4#24,27,133
11658_4#25,27,133
11658_4#26,2,13
11658_4#27,1,3
11658_4#28,1,3
11658_4#29,28,142
11658_4#3,4,26
11658_4#30,9,46
11658_4#31,28,143
11658_4#32,22,106
11658_4#33,2,13
11658_4#34,27,133
11658_4#35,9,46
11658_4#36,28,138
11658_4#37,27,132
11658_4#38,23,108
11658_4#39,22,106
11658_4#4,5,33
11658_4#40,28,142
11658_4#41,28,141
11658_4#42,17,80
11658_4#43,18,86
11658_4#44,27,133
11658_4#45,28,143
11658_4#46,9,46
11658_4#47,1,6
11658_4#48,18,86
11658_4#49,27,137
11658_4#5,27,130
11658_4#50,28,142
11658_4#51,19,91
11658_4#52,6,38
11658_4#53,28,143
11658_4#54,28,143
11658_4#55,26,123
