Isolates,Level 1,Level 2
4386_6#10,2,6
4386_6#11,8,20
4386_6#12,9,23
4386_6#2,2,6
4386_6#3,4,12
4386_6#4,4,12
4386_6#5,8,20
4386_6#6,8,20
4386_6#7,8,20
4386_6#8,9,23
4386_6#9,8,19
4386_7#1,4,12
4386_7#10,4,12
4386_7#11,4,12
4386_7#12,4,12
4386_7#2,4,12
4386_7#3,7,17
4386_7#4,1,3
4386_7#5,2,6
4386_7#7,7,17
4386_7#8,9,23
4386_8#1,4,12
4386_8#10,9,25
4386_8#11,4,12
4386_8#2,7,17
4386_8#3,3,9
4386_8#4,7,17
4386_8#5,7,18
4386_8#7,7,17
4386_8#8,9,22
4395_2#1,4,12
4395_2#10,4,12
4395_2#11,7,17
4395_2#12,4,12
4395_2#3,3,10
4395_2#4,9,23
4395_2#5,4,12
4395_2#6,4,12
4395_2#7,7,17
4395_2#8,5,14
4395_2#9,7,17
4395_3#1,7,17
4395_3#10,7,17
4395_3#11,1,3
4395_3#12,7,17
4395_3#3,2,6
4395_3#4,7,18
4395_3#5,7,17
4395_3#6,7,17
4395_3#7,9,22
4395_3#8,7,17
4395_3#9,5,13
4414_1#1,2,6
4414_1#10,9,22
4414_1#12,9,24
4414_1#2,7,17
4414_1#3,2,6
4414_1#5,7,18
4414_1#6,9,23
4414_1#8,9,23
4414_2#1,2,6
4414_2#10,1,3
4414_2#12,4,12
4414_2#2,7,17
4414_2#3,4,12
4414_2#4,2,6
4414_2#5,7,17
4414_2#6,1,3
4414_2#7,8,19
4414_2#8,7,17
4414_2#9,9,23
4414_3#1,3,10
4414_3#10,1,3
4414_3#11,1,3
4414_3#12,1,3
4414_3#2,9,23
4414_3#3,1,3
4414_3#4,1,2
4414_3#5,3,10
4414_3#6,3,8
4414_3#7,2,5
4414_3#8,8,20
4414_3#9,8,20
4414_5#1,3,10
4414_5#10,1,3
4414_5#11,2,6
4414_5#12,3,10
4414_5#2,9,23
4414_5#3,2,6
4414_5#4,1,3
4414_5#5,4,12
4414_5#6,1,3
4414_5#7,7,17
4414_5#8,1,3
4414_5#9,9,23
4414_6#1,2,6
4414_6#10,2,6
4414_6#12,3,10
4414_6#2,2,6
4414_6#3,1,3
4414_6#4,9,23
4414_6#5,7,18
4414_6#6,1,3
4414_6#7,9,25
4414_6#9,3,10
4430_1#1,1,3
4430_1#10,6,15
4430_1#11,4,12
4430_1#12,9,22
4430_1#2,3,10
4430_1#3,9,22
4430_1#5,2,6
4430_1#6,7,17
4430_1#7,3,7
4430_1#9,4,11
4430_2#1,9,23
4430_2#10,7,17
4430_2#11,9,23
4430_2#12,9,23
4430_2#2,4,12
4430_2#3,7,17
4430_2#4,9,23
4430_2#5,4,12
4430_2#6,7,17
4430_2#7,7,17
4430_2#8,3,10
4430_2#9,8,20
4453_5#1,9,24
4453_5#10,7,17
4453_5#2,1,1
4453_5#3,2,4
4453_5#4,1,3
4453_5#5,7,18
4453_5#6,8,20
4453_5#7,3,10
4453_5#9,7,16
6133_1#1,2,6
6133_1#10,7,17
6133_1#11,6,15
6133_1#12,1,3
6133_1#2,2,5
6133_1#3,4,12
6133_1#4,7,17
