Isolate K_2 K_3 K_4 K_5 K_6 K_7 K_8 K_9 K_10 K_11 K_12 K_13 K_14 K_15 K_16 K_17 K_18 K_19 K_20 K_21 K_22 K_23 K_24 K_25 K_26 K_27 K_28 K_29 K_30
14412_4#4 1 3 4 4 5 6 7 7 8 8 8 8 8 9 9 9 9 9 9 9 10 10 10 10 11 11 11 11 11
14412_4#40 1 3 4 4 5 6 7 7 8 8 8 8 8 9 9 9 9 9 9 9 10 10 10 10 11 11 11 11 11
14412_4#41 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
14412_4#42 1 1 3 3 4 4 5 5 5 5 5 5 5 6 6 6 6 6 6 20 21 21 21 22 23 23 23 24 25
14412_4#43 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 24 24 25 26
14412_4#44 1 1 1 1 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 8 8 8 8 9 9 9 9 9
14412_4#45 1 1 1 1 1 1 3 9 10 10 10 11 11 12 12 12 12 12 12 12 13 13 13 14 15 15 25 26 27
14412_4#46 1 1 1 1 1 1 3 9 10 10 10 11 11 12 12 12 12 12 12 12 13 13 13 14 15 15 15 16 17
14412_4#47 2 2 2 5 6 7 8 8 9 9 9 10 10 11 11 11 11 11 11 11 12 12 12 12 13 13 13 14 15
14412_4#48 2 2 2 5 6 7 8 8 9 9 9 10 10 11 11 11 11 11 11 11 12 12 12 12 13 13 13 14 15
14412_4#49 2 2 2 5 6 7 8 8 9 9 9 10 10 11 11 11 11 11 11 11 12 12 12 12 13 13 13 14 15
14412_4#5 1 3 4 4 5 6 7 7 8 8 8 8 8 9 9 9 9 9 9 9 10 10 10 10 11 11 11 11 11
14412_4#50 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
14412_4#51 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
14412_4#52 1 1 3 3 4 4 5 5 7 7 7 7 14 15 16 17 18 19 20 21 22 22 22 23 24 25 26 27 28
14412_4#53 1 1 3 3 4 4 5 5 7 7 7 7 14 15 16 17 18 19 20 21 22 22 22 23 24 25 26 27 28
14412_4#54 1 1 3 3 4 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 23 24 25 26 27 28 29
14412_4#55 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 24 24 25 26
14412_4#56 1 1 3 3 4 4 5 5 5 5 5 5 5 6 6 15 15 15 16 16 17 23 24 25 26 27 28 29 30
14412_4#57 1 3 4 4 5 6 7 7 8 8 8 8 8 9 9 9 9 9 9 9 10 10 10 10 11 11 11 11 11
14412_4#58 1 3 4 4 5 6 7 7 8 8 8 8 8 9 9 9 9 9 9 9 10 10 10 10 11 11 11 11 11
14412_4#59 1 1 1 1 2 2 2 2 2 2 12 13 13 14 15 16 16 17 18 18 19 19 19 20 21 21 21 22 23
14412_4#6 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
14412_4#60 1 1 1 1 2 2 2 2 2 2 12 13 13 14 15 16 16 17 18 18 19 19 19 20 21 21 21 22 23
14412_4#61 1 1 1 1 2 2 2 2 2 2 2 2 2 4 4 4 4 4 4 4 4 4 4 4 4 4 4 13 13
14412_4#7 1 1 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
14412_4#8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 13 13 17 18 19 19 20 20 20 21 22 22 22 23 24
14412_4#9 1 1 1 1 1 1 1 1 1 1 1 1 1 1 13 13 17 18 19 19 20 20 20 21 22 22 22 23 24
