Isolate K_2 K_3 K_4 K_5 K_6 K_7 K_8 K_9 K_10 K_11 K_12 K_13 K_14 K_15 K_16 K_17 K_18 K_19 K_20 K_21 K_22 K_23 K_24 K_25 K_26 K_27 K_28 K_29 K_30 K_31 K_32 K_33 K_34 K_35 K_36 K_37 K_38 K_39 K_40 K_41 K_42 K_43 K_44 K_45 K_46 K_47 K_48 K_49 K_50
EM_004192_2014-12-22 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_004201_2014-12-24 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_004259_2014-12-26 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_004290_2014-12-27 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_004414_2015-01-02 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_004422_2015-01-02 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_004437_2015-01-04 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_004438_2015-01-04 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_004481_2015-01-11 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_004494_2015-01-14 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_004503_2015-01-15 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_004555_2015-01-22 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_004563_2015-01-25 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_004580_2015-01-27 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_004589_2015-01-31 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_074335_2014-07-18 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
EM_074349_2014-07-22 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_074350_2014-07-22 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_074351_2014-07-22 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_074352_2014-07-22 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_074353_2014-07-22 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_074354_2014-07-22 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
EM_074391_2014-07-26 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_074392_2014-07-25 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_074436_2014-08-01 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_074437_2014-08-01 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_074438_2014-08-01 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_074439_2014-08-01 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_074461_2014-08-04 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 22 23 24 25 26 26 27 27 27 27 28 29 29 30 31 32 33 33 33 33 34 34 35 36 37 38 38
EM_074462_2014-08-04 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14 14 15 15 15 15
EM_074531_2014-08-08 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 22 23 24 25 26 26 27 27 27 27 28 29 29 30 31 32 33 33 33 33 34 34 35 36 37 38 38
EM_074548_2014-08-08 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_074720_2014-08-14 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_074785_2014-08-16 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_074821_2014-08-17 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_074822_2014-08-17 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_075043_2014-08-22 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_075076_2014-08-23 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_075368_2014-08-29 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_075373_2014-08-30 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_075435_2014-08-30 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_075447_2014-08-31 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_075928_2014-10-10 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_075929_2014-10-10 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_075930_2014-10-10 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_075931_2014-10-10 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_075932_2014-10-10 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_076138_2014-10-17 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_076191_2014-10-18 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_076192_2014-10-18 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_076193_2014-10-18 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_076217_2014-10-19 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_076322_2014-10-22 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_076334_2014-10-23 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_076335_2014-10-23 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_076383_2014-10-26 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_076403_2014-10-27 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_076472_2014-10-29 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_076533_2014-11-01 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_076534_2014-11-01 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_076610_2014-11-03 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_076615_2014-11-03 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_076951_2014-11-13 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_078415_2014-11-24 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_078416_2014-11-24 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_078555_2014-12-01 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10 10 10 10 10 11 11 11 11
EM_078556_2014-12-01 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_078608_2014-12-04 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_078638_2014-12-03 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_078639_2014-12-04 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_078654_2014-12-09 1 2 2 2 2 2 4 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 10 10 10 10
EM_078656_2014-12-09 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_078670_2014-12-11 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 32 32 32 33 33 34 35 36 37 37
EM_078683_2014-12-11 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_078694_2014-12-14 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_078706_2014-12-15 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_078722_2014-12-16 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_078763_2014-12-17 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_078779_2014-12-18 1 2 2 2 2 2 4 8 8 8 9 10 10 10 10 10 10 10 11 11 11 12 12 13 13 13 13 13 13 13 13 13 27 28 28 29 30 31 32 34 34 34 35 35 36 37 38 39 39
EM_079404_2014-03-28 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079405_2014-03-28 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079408_2014-03-31 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079410_2014-03-31 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 22 23 24 25 26 26 27 27 27 27 28 29 29 30 31 32 33 33 33 33 34 34 35 36 37 38 38
EM_079412_2014-03-31 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079413_2014-03-31 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
EM_079414_2014-03-31 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
EM_079421_2014-03-30 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079422_2014-03-27 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079423_2014-03-27 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079424_2014-03-27 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079429_2014-04-02 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079434_2014-04-02 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079442_2014-04-03 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 22 23 24 25 26 26 27 27 27 27 28 29 29 30 31 32 33 33 33 33 34 34 35 36 37 38 38
EM_079444_2014-04-02 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079450_2014-04-01 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079464_2014-04-04 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079497_2014-04-07 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
EM_079514_2014-04-10 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079517_2014-04-11 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079542_2014-04-12 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079549_2014-04-13 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079578_2014-04-18 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079587_2014-04-22 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079622_2014-04-28 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079630_2014-05-01 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079657_2014-05-07 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079659_2014-05-07 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079677_2014-05-10 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079681_2014-05-11 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079685_2014-05-11 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079702_2014-05-14 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079731_2014-05-18 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079749_2014-05-21 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079750_2014-05-21 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
EM_079753_2014-05-22 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079772_2014-05-24 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 29 29 29 30 31 31 32 33 34 35 36 36 36 37 37 38 39 40 41 41
EM_079775_2014-05-24 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
EM_079815_2014-05-28 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
EM_079859_2014-06-01 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
EM_079876_2014-06-05 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 22 23 24 25 26 26 27 27 27 27 28 29 29 30 31 32 33 33 33 33 34 34 35 36 37 38 38
EM_079880_2014-06-05 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 22 23 24 25 26 26 27 27 27 27 28 29 29 30 31 32 33 33 33 33 34 34 35 36 37 38 38
EM_079910_2014-06-09 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
EM_079911_2014-06-09 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
EM_079912_2014-06-09 1 2 2 2 2 7 8 9 10 11 12 13 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 27 28 28 28 28 29 30 30 31 32 33 34 35 35 35 36 36 37 38 39 40 40
