Isolates,Level 1
6593_4#22_S_pneumoniae_Spanish_23F.dna,8
6593_4#23_S_pneumoniae_Spanish_23F.dna,29
6593_4#24_S_pneumoniae_Spanish_23F.dna,6
6593_4#2_S_pneumoniae_Spanish_23F.dna,30
6593_4#3_S_pneumoniae_Spanish_23F.dna,31
6593_4#4_S_pneumoniae_Spanish_23F.dna,25
6593_4#5_S_pneumoniae_Spanish_23F.dna,29
6593_4#6_S_pneumoniae_Spanish_23F.dna,31
6593_4#7_S_pneumoniae_Spanish_23F.dna,13
6593_4#8_S_pneumoniae_Spanish_23F.dna,25
6593_4#9_S_pneumoniae_Spanish_23F.dna,10
6593_5#10_S_pneumoniae_Spanish_23F.dna,25
6593_5#11_S_pneumoniae_Spanish_23F.dna,13
6593_5#12_S_pneumoniae_Spanish_23F.dna,27
6593_5#13_S_pneumoniae_Spanish_23F.dna,18
6593_5#14_S_pneumoniae_Spanish_23F.dna,27
6593_5#15_S_pneumoniae_Spanish_23F.dna,27
6593_5#16_S_pneumoniae_Spanish_23F.dna,19
6593_5#17_S_pneumoniae_Spanish_23F.dna,23
6593_5#18_S_pneumoniae_Spanish_23F.dna,20
6593_5#19_S_pneumoniae_Spanish_23F.dna,15
6593_5#1_S_pneumoniae_Spanish_23F.dna,25
6593_5#20_S_pneumoniae_Spanish_23F.dna,15
6593_5#21_S_pneumoniae_Spanish_23F.dna,15
6593_5#22_S_pneumoniae_Spanish_23F.dna,30
6593_5#23_S_pneumoniae_Spanish_23F.dna,31
6593_5#24_S_pneumoniae_Spanish_23F.dna,15
6593_5#2_S_pneumoniae_Spanish_23F.dna,1
6593_5#3_S_pneumoniae_Spanish_23F.dna,15
6593_5#4_S_pneumoniae_Spanish_23F.dna,19
6593_5#5_S_pneumoniae_Spanish_23F.dna,28
6593_5#6_S_pneumoniae_Spanish_23F.dna,27
6593_5#7_S_pneumoniae_Spanish_23F.dna,6
6593_5#8_S_pneumoniae_Spanish_23F.dna,29
6630_1#10_S_pneumoniae_Spanish_23F.dna,18
6630_1#11_S_pneumoniae_Spanish_23F.dna,23
6630_1#12_S_pneumoniae_Spanish_23F.dna,32
6630_1#13_S_pneumoniae_Spanish_23F.dna,28
6630_1#14_S_pneumoniae_Spanish_23F.dna,28
6630_1#15_S_pneumoniae_Spanish_23F.dna,14
6630_1#16_S_pneumoniae_Spanish_23F.dna,22
6630_1#17_S_pneumoniae_Spanish_23F.dna,10
6630_1#18_S_pneumoniae_Spanish_23F.dna,29
6630_1#19_S_pneumoniae_Spanish_23F.dna,25
6630_1#1_S_pneumoniae_Spanish_23F.dna,29
6630_1#20_S_pneumoniae_Spanish_23F.dna,25
6630_1#21_S_pneumoniae_Spanish_23F.dna,29
6630_1#22_S_pneumoniae_Spanish_23F.dna,25
6630_1#23_S_pneumoniae_Spanish_23F.dna,29
6630_1#24_S_pneumoniae_Spanish_23F.dna,10
6630_1#2_S_pneumoniae_Spanish_23F.dna,27
6630_1#3_S_pneumoniae_Spanish_23F.dna,23
6630_1#4_S_pneumoniae_Spanish_23F.dna,25
6630_1#5_S_pneumoniae_Spanish_23F.dna,30
6630_1#6_S_pneumoniae_Spanish_23F.dna,22
6630_1#7_S_pneumoniae_Spanish_23F.dna,5
6630_1#8_S_pneumoniae_Spanish_23F.dna,5
6630_1#9_S_pneumoniae_Spanish_23F.dna,18
6630_2#10_S_pneumoniae_Spanish_23F.dna,8
6630_2#11_S_pneumoniae_Spanish_23F.dna,29
6630_2#12_S_pneumoniae_Spanish_23F.dna,14
6630_2#13_S_pneumoniae_Spanish_23F.dna,2
6630_2#14_S_pneumoniae_Spanish_23F.dna,8
6630_2#15_S_pneumoniae_Spanish_23F.dna,26
6630_2#16_S_pneumoniae_Spanish_23F.dna,25
6630_2#17_S_pneumoniae_Spanish_23F.dna,22
6630_2#18_S_pneumoniae_Spanish_23F.dna,25
6630_2#19_S_pneumoniae_Spanish_23F.dna,29
6630_2#1_S_pneumoniae_Spanish_23F.dna,29
6630_2#20_S_pneumoniae_Spanish_23F.dna,19
6630_2#21_S_pneumoniae_Spanish_23F.dna,17
6630_2#22_S_pneumoniae_Spanish_23F.dna,12
6630_2#23_S_pneumoniae_Spanish_23F.dna,12
6630_2#24_S_pneumoniae_Spanish_23F.dna,30
6630_2#2_S_pneumoniae_Spanish_23F.dna,14
6630_2#3_S_pneumoniae_Spanish_23F.dna,24
6630_2#4_S_pneumoniae_Spanish_23F.dna,29
6630_2#5_S_pneumoniae_Spanish_23F.dna,32
6630_2#6_S_pneumoniae_Spanish_23F.dna,32
6630_2#7_S_pneumoniae_Spanish_23F.dna,27
6630_2#8_S_pneumoniae_Spanish_23F.dna,5
6630_2#9_S_pneumoniae_Spanish_23F.dna,5
6630_3#10_S_pneumoniae_Spanish_23F.dna,29
6630_3#11_S_pneumoniae_Spanish_23F.dna,23
6630_3#12_S_pneumoniae_Spanish_23F.dna,25
6630_3#13_S_pneumoniae_Spanish_23F.dna,17
6630_3#14_S_pneumoniae_Spanish_23F.dna,29
