Isolates,Level 1,Level 2
EM_FORE_2015_697_2015-06-07,1,1
EM_FORE_2015_781_2015-06-13,1,1
EM_FORE_2015_816_2015-06-15,2,6
EM_FORE_2015_875_2015-06-17,2,6
EM_FORE_2015_896_2015-06-20,1,1
EM_FORE_2015_934_2015-06-23,1,1
EM_GUI_2015_004674_2015-03-26,1,3
EM_FORE_2015-2417_2015-09-15,1,2
EM_FORE_2015-2531_2015-09-26,1,2
EM_FORE_2015-2533_2015-09-26,1,2
GUI_CTS_2015_0050_2015-06-20,2,4
GUI_CTS_2015_0051_2015-06-21,2,4
GUI_CTS_2015_0052_2015-06-25,2,4
IPDPFHGINSP_GUI_2015_4786_2015-03-26,2,4
IPDPFHGINSP_GUI_2015_4909_2015-03-29,2,4
IPDPFHGINSP_GUI_2015_5038_2015-04-01,1,2
IPDPFHGINSP_GUI_2015_5117_2015-04-03,2,4
IPDPFHGINSP_GUI_2015_5339_2015-04-08,2,4
IPDPFHGINSP_GUI_2015_6505_2015-05-03,2,6
IPDPFHGINSP_GUI_2015_6899_2015-05-14,2,4
IPDPFHGINSP_GUI_2015_7070_2015-05-18,2,6
KG12_2015-05-27,2,4
KG167_2015-06-29,2,4
KG168_2015-06-29,2,4
KG80_2015-06-18,2,4
KG87_2015-06-19,2,4
KG88_2015-06-19,2,4
KG90_2015-06-19,2,4
KG91_2015-06-20,2,4
REDC-GUI-2015-00402_2015-07-08,1,2
REDC-GUI-2015-00497_2015-07-12,1,1
REDC-GUI-2015-00502_2015-07-13,1,2
REDC_GUI_2015_00483_2015-07-12,1,2
REDC_GUI_2015_00494B_2015-07-12,1,2
REDC_GUI_2015_00545_2015-07-15,1,2
REDC_GUI_2015_00576_2015-07-17,1,2
REDC_GUI_2015_00589_2015-07-15,1,2
REDC_GUI_2015_01165_2015-08-18,1,2
REDC_GUI_2015_01285_2015-08-24,1,2
REDC_GUI_2015_01323_2015-08-27,1,2
REDC_GUI_2015_01408_2015-09-01,1,2
REDC_GUI_2015_02242_2015-10-24,1,2
77551_EMLK_2015-01-01,5,16
PL4197_2015-03-02,5,16
PL4203_2015-03-02,5,16
PL4284_2015-03-03,5,16
704_EMLH_2015-02-09,5,16
PL4932_2015-03-18,5,16
MK0464_2014-12-24,5,16
MK0865_2015-01-05,5,16
MK0866_2015-01-05,5,16
MK0867_2015-01-05,5,16
PL4119_2015-02-28,5,16
PL4785_2015-03-14,5,16
PL4813_2015-03-14,5,16
PL4283_2015-03-03,5,16
PL4443_2015-03-07,5,16
PL4844_2015-03-16,5,16
PL4886_2015-03-16,5,16
PL5133_2015-03-21,5,16
PL5275_2015-03-24,5,16
PL5534_2015-03-29,5,16
PL5674_2015-03-31,5,16
PL5950_2015-04-08,5,16
MK1156_2015-01-15,3,8
20146578_2014-12-26,3,9
DML25123_2015-02-18,5,13
EM_079388_2014-07-30,3,9
14748_EML_2015-04-19,1,3
PL4804_2015-03-15,5,16
20140008_2014-08-22,3,9
20140024_2014-08-20,3,9
20140038_2014-08-23,3,9
20140091_2014-08-22,3,8
20140100_2014-08-24,3,9
20140134_2014-08-26,3,9
20140161_2014-08-27,3,9
20140174_2014-08-27,3,9
20140254_2014-08-29,3,9
201403007_2014-08-03,3,9
20140395_2014-09-02,3,8
20140433_2014-09-03,3,9
20140436_2014-09-03,3,8
20140489_2014-09-04,3,9
20140517_2014-09-05,3,9
20140590_2014-09-07,3,9
20140729_2014-09-10,3,9
20140872_2014-09-15,3,9
20140910_2014-09-18,3,9
20140933_2014-09-16,3,9
20141012_2014-09-21,3,9
20141043_2014-09-21,3,9
20141061_2014-09-21,3,9
20141123_2014-09-22,3,8
20141227_2014-09-26,3,9
20141232_2014-09-25,3,9
20141241_2014-09-24,3,9
20141271_2014-09-24,3,9
20141280_2014-09-23,3,8
20141282_2014-09-23,3,8
20141288_2014-09-23,3,9
20141352_2014-09-26,3,9
20141397_2014-09-28,3,9
20141429_2014-09-28,3,9
20141491_2014-10-01,3,8
20141497_2014-10-01,3,8
20141582_2014-10-04,3,8
20141643_2014-10-04,3,9
20141650_2014-10-05,3,8
20141960_2014-10-09,3,9
20141997_2014-10-10,3,9
20142065_2014-10-11,3,9
20142127_2014-10-12,3,9
20142260_2014-10-14,3,9
20142407_2014-10-16,3,9
20142417_2014-10-19,3,9
20142477_2014-10-19,3,9
20142551_2014-10-23,3,8
20142843_2014-10-23,3,8
20142856_2014-10-24,3,9
20142895_2014-10-24,3,8
20143018_2014-10-26,3,8
20143031_2014-10-25,3,9
20143036_2014-10-24,3,9
20143107_2014-10-25,3,8
20143164_2014-10-27,3,9
20143187_2014-10-28,3,8
20143317_2014-10-29,3,9
20143360_2014-10-30,3,8
20143415_2014-10-31,3,8
20143458_2014-11-01,3,9
20143466_2014-11-01,3,9
20143550_2014-11-01,3,8
20143648_2014-11-03,3,8
20143659_2014-11-03,3,8
20143716_2014-11-04,5,14
20143753_2014-11-05,5,14
20143796_2014-11-05,3,8
20143918_2014-11-06,3,9
20143938_2014-11-07,3,8
20143964_2014-11-07,3,9
20144192_2014-11-08,3,8
20144521_2014-11-12,5,13
20144610_2014-11-12,5,14
20144819_2014-11-15,3,8
20144820_2014-11-15,3,8
20144837_2014-11-14,3,8
20144865_2014-11-13,3,8
20145835_2014-11-25,3,9
20145853_2014-11-26,3,9
20146001_2014-11-24,5,13
20146553_2014-12-22,3,8
Makona-201403147_2014-09-13,3,9
Makona-201403261_2014-09-26,3,9
Makona-GE1_2014-11-21,3,9
DML12033_2015-02-19,4,10
DML12051_2015-02-21,4,10
DML12116_2015-02-26,4,10
DML12117_2015-02-26,4,10
DML12120_2015-02-27,4,10
DML12137_2015-02-28,4,10
DML12194_2015-03-04,3,8
DML12239_2015-03-09,5,14
DML12260_2015-03-09,4,10
DML12268_2015-03-10,4,10
DML12458_2015-03-28,3,8
DML12485_2015-03-31,4,10
DML24502_2015-01-13,5,13
DML24504_2015-01-13,5,13
DML24506_2015-01-14,5,13
DML24511_2015-01-14,5,13
DML24552_2015-01-17,5,13
DML24553_2015-01-17,5,13
DML24573_2015-01-18,5,13
DML24581_2015-01-19,5,13
DML24592_2015-01-20,5,13
DML24601_2015-01-20,5,13
DML24604_2015-01-20,5,13
DML24605_2015-01-20,5,13
DML24606_2015-01-20,5,13
DML24608_2015-01-20,5,13
DML24611_2015-01-21,5,13
DML24669_2015-01-25,5,13
DML24677_2015-01-25,5,13
DML24683_2015-01-26,5,13
DML24708_2015-01-28,5,15
DML24818_2015-02-03,5,13
DML24825_2015-02-04,5,13
DML24854_2015-02-06,5,13
DML25083_2015-02-18,5,13
DML25103_2015-02-19,5,13
DML25180_2015-02-23,5,12
DML25344_2015-03-06,5,12
DML25411_2015-03-10,3,9
EM_000015_2014-09-01,3,9
EM_000027_2014-09-01,3,9
EM_000028_2014-09-01,3,9
EM_000127_2014-09-04,3,9
EM_000128_2014-09-04,3,9
EM_000218_2014-09-07,3,9
EM_000219_2014-09-07,3,9
EM_000321_2014-09-09,3,9
EM_000457_2014-09-12,3,9
EM_000500_2014-09-13,3,9
EM_000501_2014-09-13,3,9
EM_000502_2014-09-13,3,9
EM_000706_2014-09-21,3,9
EM_000707_2014-09-22,2,5
EM_000921_2014-09-29,3,9
EM_000925_2014-09-29,3,9
EM_000934_2014-09-29,2,5
EM_000958_2014-09-30,3,9
EM_000968_2014-10-01,3,9
EM_000982_2014-10-01,3,9
EM_000983_2014-10-01,3,9
EM_001101_2014-10-05,3,9
EM_001102_2014-10-05,3,9
EM_004059_2014-12-20,3,9
EM_004085_2014-12-19,3,9
EM_004192_2014-12-22,3,9
EM_004201_2014-12-24,3,9
EM_004259_2014-12-26,3,9
EM_004290_2014-12-27,3,9
EM_004414_2015-01-02,3,9
EM_004422_2015-01-02,3,9
EM_004437_2015-01-04,3,9
EM_004438_2015-01-04,3,9
EM_004481_2015-01-11,3,9
EM_004494_2015-01-14,3,9
EM_004503_2015-01-15,3,9
EM_004555_2015-01-22,3,9
EM_004563_2015-01-25,3,9
EM_004580_2015-01-27,3,9
EM_004589_2015-01-31,3,9
EM_074335_2014-07-18,2,7
EM_074349_2014-07-22,3,9
EM_074350_2014-07-22,3,9
EM_074351_2014-07-22,3,9
EM_074352_2014-07-22,3,9
EM_074353_2014-07-22,3,9
EM_074354_2014-07-22,2,7
EM_074391_2014-07-26,3,9
EM_074392_2014-07-25,3,9
EM_074436_2014-08-01,3,9
EM_074437_2014-08-01,3,9
EM_074438_2014-08-01,3,9
EM_074439_2014-08-01,3,9
EM_074461_2014-08-04,2,5
EM_074462_2014-08-04,3,9
EM_074531_2014-08-08,2,5
EM_074548_2014-08-08,3,9
