Isolates,Level 1,Level 2
14324_4#1,1,5
14324_4#10,1,8
14324_4#11,31,148
14324_4#12,1,5
14324_4#13,22,89
14324_4#14,22,89
14324_4#15,21,84
14324_4#16,25,106
14324_4#17,29,130
14324_4#18,31,145
14324_4#19,32,157
14324_4#2,29,130
14324_4#20,31,147
14324_4#21,2,14
14324_4#22,28,125
14324_4#23,3,20
14324_4#24,21,79
14324_4#25,28,126
14324_4#26,29,129
14324_4#27,25,106
14324_4#28,1,5
14324_4#29,31,147
14324_4#3,29,135
14324_4#30,3,21
14324_4#31,20,75
14324_4#32,28,127
14324_4#33,1,1
14324_4#34,2,13
14324_4#35,3,19
14324_4#36,1,8
14324_4#37,3,21
14324_4#38,29,130
14324_4#39,4,28
14324_4#4,22,89
14324_4#40,25,106
14324_4#41,22,89
14324_4#42,20,76
14324_4#43,20,76
14324_4#44,4,28
14324_4#45,1,1
14324_4#46,29,130
14324_4#47,20,77
14324_4#48,5,30
14324_4#49,26,113
14324_4#5,25,106
14324_4#50,6,34
14324_4#51,25,106
14324_4#52,26,112
14324_4#53,1,5
14324_4#54,32,156
14324_4#55,3,21
14324_4#56,29,134
14324_4#57,1,8
14324_4#58,3,18
14324_4#59,2,14
14324_4#6,22,89
14324_4#60,4,22
14324_4#61,32,158
14324_4#62,3,21
14324_4#63,28,121
14324_4#64,5,31
14324_4#65,31,144
14324_4#66,28,125
14324_4#67,32,155
14324_4#68,26,111
14324_4#69,28,126
14324_4#7,7,37
14324_4#70,8,40
14324_4#71,8,39
14324_4#72,1,2
14324_4#73,32,159
14324_4#74,32,154
14324_4#75,5,29
14324_4#76,6,35
14324_4#77,5,30
14324_4#78,31,146
14324_4#79,31,147
14324_4#8,1,2
14324_4#80,28,127
14324_4#81,3,21
14324_4#82,28,122
14324_4#83,3,17
14324_4#84,5,30
14324_4#85,25,106
14324_4#86,2,12
14324_4#87,9,43
14324_4#88,29,132
14324_4#89,1,8
14324_4#9,3,21
14324_4#90,29,135
14324_4#91,21,84
14324_4#92,29,135
14324_4#93,4,23
14324_4#94,25,100
14324_4#95,31,147
14324_5#1,10,46
14324_5#10,6,36
14324_5#11,31,147
14324_5#12,31,147
14324_5#13,26,110
14324_5#14,26,109
14324_5#15,23,95
14324_5#16,23,95
14324_5#17,11,49
14324_5#18,11,49
14324_5#19,11,49
14324_5#2,10,46
14324_5#20,28,128
14324_5#21,28,128
14324_5#22,10,47
14324_5#23,10,47
14324_5#24,31,147
14324_5#25,31,147
14324_5#26,31,147
14324_5#27,32,153
14324_5#28,32,163
14324_5#29,12,54
14324_5#3,28,128
14324_5#30,12,54
14324_5#31,12,54
14324_5#32,31,147
14324_5#33,31,147
14324_5#34,31,147
14324_5#35,31,147
14324_5#36,13,57
14324_5#37,13,57
14324_5#38,31,147
14324_5#39,31,147
14324_5#4,28,128
14324_5#40,31,147
14324_5#41,11,49
14324_5#42,11,49
14324_5#43,11,49
14324_5#44,30,139
14324_5#45,30,139
14324_5#46,29,133
14324_5#47,29,133
14324_5#48,14,60
14324_5#49,14,60
14324_5#5,31,147
14324_5#50,14,60
14324_5#51,31,147
14324_5#52,31,147
14324_5#53,31,147
14324_5#54,29,133
14324_5#55,29,133
14324_5#56,29,133
14324_5#57,28,123
14324_5#58,28,123
14324_5#59,28,123
14324_5#6,31,147
