"Isolate","level 1","level 2"
"6133_2#9",3,7
"6133_3#1",5,12
"6133_3#10",6,20
"6133_3#2",2,4
"6133_3#3",4,9
"6133_3#4",4,9
"6133_3#5",1,1
"6133_3#7",4,9
"6133_3#8",1,1
"6133_3#9",6,15
"6236_1#1",3,5
"6236_1#10",7,23
"6236_1#11",3,5
"6236_1#2",6,20
"6236_1#3",6,21
"6236_1#4",1,1
"6236_1#6",5,12
"6236_1#7",3,7
"6236_1#9",6,22
